"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,340.5,26.6191619616
,,341,26.6887437996
,,341.5,26.7626788013
,,342,26.8235700301
,,342.5,26.8873645496
,,343,26.9511630964
,,343.5,27.0236666331
,,344,27.0889248096
,,344.5,27.1585390404
,,345,27.218005925
,,345.5,27.2847303046
,,346,27.3558128894
,,346.5,27.4283535048
,,347,27.4907446465
,,347.5,27.5603976421
,,348,27.6228016927
,,348.5,27.6953726584
,,349,27.7650493018
,,349.5,27.8260234524
,,350,27.892812509
,,350.5,27.9625144638
,,351,28.0264162779
,,351.5,28.088873733
,,352,28.1556976416
,,352.5,28.2210780686
,,353,28.2777486716
,,353.5,28.3373332238
,,354,28.3998330953
,,354.5,28.4623421476
,,355,28.5248606011
,,355.5,28.5946600171
,,356,28.6673808215
,,356.5,28.7401153143
,,357,28.8084985283
,,357.5,28.86961766
,,358,28.9365695317
,,358.5,28.9977105619
,,359,29.0603184903
,,359.5,29.1185687525
,,360,29.185569098
,,360.5,29.2394705931
,,361,29.2977525972
,,361.5,29.3516729605
,,362,29.4070602959
,,362.5,29.4566258111
,,363,29.5178649559
,,363.5,29.5732825865
,,364,29.6316281779
,,364.5,29.6885263999
,,365,29.7512734357
,,365.5,29.8008972381
,,366,29.8607494643
,,366.5,29.916233897
,,367,29.9673480206
,,367.5,30.0228544
,,368,30.0812947556
,,368.5,30.1353637321
,,369,30.1967530768
,,369.5,30.2523085816
,,370,30.3137263343
,,370.5,30.3780850666
,,371,30.4366076994
,,371.5,30.5024626208
,,372,30.5610156038
,,372.5,30.6312984249
,,373,30.6854892777
,,373.5,30.7484839167
,,374,30.79830601
,,374.5,30.8540026113
,,375,30.9038482431
,,375.5,30.9551717162
,,376,31.002106607
,,376.5,31.0534533208
,,377,31.1018772173
,,377.5,31.1488442779
,,378,31.1958218254
,,378.5,31.2530900258
,,379,31.3059670752
,,379.5,31.3662048148
,,380,31.430870141
,,380.5,31.4896749221
,,381,31.5661472493
,,381.5,31.6161645223
,,382,31.6823836955
,,382.5,31.7339032776
,,383,31.7795465476
,,383.5,31.8266737457
,,384,31.8738127856
,,384.5,31.9298059067
,,385,31.972548922
,,385.5,32.028572108
,,386,32.0890375525
,,386.5,32.1465723049
,,387,32.2085535534
,,387.5,32.2764627127
,,388,32.3281503575
,,388.5,32.3857632799
,,389,32.437483582
,,389.5,32.4847844
,,390,32.5350559527
,,390.5,32.5794256448
,,391,32.6134503586
,,391.5,32.653401271
,,392,32.6933618042
,,392.5,32.7303709264
,,393,32.7629458547
,,393.5,32.7940461609
,,394,32.8266338094
,,394.5,32.8577463151
