"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,291,16.369954008
,,291.5,16.362397006
,,292,16.3548394893
,,292.5,16.3442581006
,,293,16.3351875342
,,293.5,16.3276281609
,,294,16.3185562306
,,294.5,16.3125078632
,,295,16.3004101338
,,295.5,16.297385494
,,296,16.2883110766
,,296.5,16.2777233108
,,297,16.2746980477
,,297.5,16.2595704826
,,298,16.2565447195
,,298.5,16.2444408323
,,299,16.2383883874
,,299.5,16.2293090927
,,300,16.2262824937
,,300.5,16.2172021941
,,301,16.2081211397
,,301.5,16.2005530173
,,302,16.1899567635
,,302.5,16.1733034245
,,303,16.1702752708
,,303.5,16.1596760684
,,304,16.1551332365
,,304.5,16.1475614273
,,305,16.1339308382
,,305.5,16.127872248
,,306,16.1202985332
,,306.5,16.1172688988
,,307,16.1112093752
,,307.5,16.100604391
,,308,16.0945439321
,,308.5,16.0884831327
,,309,16.0733296423
,,309.5,16.0748450873
,,310,16.0596896762
,,310.5,16.0536269134
,,311,16.0445321272
,,311.5,16.0369525498
,,312,16.0278563493
,,312.5,16.0233079594
,,313,16.0172431388
,,313.5,16.0111779743
,,314,16.0096616295
,,314.5,15.9960135571
,,315,15.9899471871
,,315.5,15.9762965927
,,316,15.971746006
,,316.5,15.9641612624
,,317,15.9596101567
,,317.5,15.9444383968
,,318,15.9398864461
,,318.5,15.9353343002
,,319,15.9322994278
,,319.5,15.923194289
,,320,15.9140883675
,,320.5,15.9064995011
,,321,15.8989100901
,,321.5,15.8943561818
,,322,15.8882839986
,,322.5,15.870065352
,,323,15.8685469893
,,323.5,15.8594363533
,,324,15.8548807396
,,324.5,15.8457689201
,,325,15.8396939348
,,325.5,15.8320997091
,,326,15.8199478044
,,326.5,15.8169096081
,,327,15.8093137319
,,327.5,15.7986785793
,,328,15.788042345
,,328.5,15.7789247107
,,329,15.7758853224
,,329.5,15.7698062799
,,330,15.7637268831
,,330.5,15.7546071227
,,331,15.750046943
,,331.5,15.7409259838
,,332,15.7394057462
,,332.5,15.7302838533
,,333,15.7196406322
,,333.5,15.7135583014
,,334,15.7120376629
,,334.5,15.6998717518
,,335,15.6937882602
,,335.5,15.6861833927
,,336,15.6770568132
,,336.5,15.6740144408
,,337,15.6572797898
,,337.5,15.6542368342
,,338,15.6511937888
,,338.5,15.642064113
,,339,15.6344554313
,,339.5,15.6283680806
,,340,15.6207583853
,,340.5,15.6192363786
,,341,15.6070595125
,,341.5,15.5964035686
,,342,15.5918363964
,,342.5,15.5842239899
,,343,15.5796562742
,,343.5,15.5720429613
,,344,15.5629062372
,,344.5,15.5568146337
,,345,15.5476765464
,,345.5,15.5431071957
,,346,15.5354911558
,,346.5,15.5248277429
,,347,15.5248277429
,,347.5,15.5187338623
,,348,15.5095923564
,,348.5,15.4974024017
,,349,15.4974024017
,,349.5,15.4882589745
,,350,15.4867349898
,,350.5,15.4745422867
,,351,15.4669211015
,,351.5,15.459299342
,,352,15.4501524718
,,352.5,15.4486279129
,,353,15.4394800759
,,353.5,15.4333810569
,,354,15.427281669
,,354.5,15.4227068857
,,355,15.4135566956
,,355.5,15.4074561065
,,356,15.3998298496
,,356.5,15.3906775771
,,357,15.3891521172
,,357.5,15.3815244701
,,358,15.3723705277
,,358.5,15.3693190278
,,359,15.3586380457
,,359.5,15.3510080749
,,360,15.346429813
,,360.5,15.3433775218
,,361,15.335746386
