"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,327.5,15.9838804721
,,328,15.9808469851
,,328.5,15.9671952247
,,329,15.9702291005
,,329.5,15.9596101567
,,330,15.9550588561
,,330.5,15.9505073607
,,331,15.9444383968
,,331.5,15.9398864461
,,332,15.9353343002
,,332.5,15.9292644684
,,333,15.9262294222
,,333.5,15.9201590688
,,334,15.9171237617
,,334.5,15.9125706378
,,335,15.908017318
,,335.5,15.8989100901
,,336,15.8928381688
,,336.5,15.8867658983
,,337,15.8791750688
,,337.5,15.8746203088
,,338,15.8715836928
,,338.5,15.8639917699
,,339,15.8609548474
,,339.5,15.8548807396
,,340,15.8518435542
,,340.5,15.8442502067
,,341,15.8396939348
,,341.5,15.8366563105
,,342,15.8290618649
,,342.5,15.8214668695
,,343,15.8184287173
,,343.5,15.8108329513
,,344,15.8062752272
,,344.5,15.8017173046
,,345,15.7986785793
,,345.5,15.7941203257
,,346,15.788042345
,,346.5,15.7774050276
,,347,15.7758853224
,,347.5,15.768286464
,,348,15.7637268831
,,348.5,15.7591671027
,,349,15.7546071227
,,349.5,15.7485268386
,,350,15.750046943
,,350.5,15.7424461992
,,351,15.7348448999
,,351.5,15.7333245733
,,352,15.72876346
,,352.5,15.7226816639
,,353,15.7165995114
,,353.5,15.708996319
,,354,15.7074756136
,,354.5,15.7013925688
,,355,15.6937882602
,,355.5,15.6922673314
,,356,15.6892254068
,,356.5,15.6770568132
,,357,15.6755356382
,,357.5,15.6694507142
,,358,15.6679294272
,,358.5,15.6648867858
,,359,15.6542368342
,,359.5,15.6466290521
,,360,15.6405424217
,,360.5,15.6405424217
,,361,15.6359772127
,,361.5,15.6283680806
,,362,15.6298899521
,,362.5,15.6222803695
,,363,15.6222803695
,,363.5,15.6131481261
,,364,15.6116260066
,,364.5,15.6040150701
,,365,15.6040150701
,,365.5,15.5964035686
,,366,15.5887915017
,,366.5,15.5857465164
,,367,15.5811788687
,,367.5,15.5750883545
,,368,15.5735656692
,,368.5,15.5659519027
,,369,15.5629062372
,,369.5,15.5568146337
,,370,15.5583375686
,,370.5,15.5461534523
,,371,15.5431071957
,,371.5,15.5415840333
,,372,15.5370144094
,,372.5,15.5370144094
,,373,15.5324445804
,,373.5,15.5278745463
,,374,15.5187338623
,,374.5,15.5202573667
,,375,15.5141632121
,,375.5,15.5111159978
,,376,15.5080686921
,,376.5,15.5050212949
,,377,15.4958785544
,,377.5,15.4943546842
,,378,15.4882589745
,,378.5,15.4806388217
,,379,15.4745422867
,,379.5,15.4730180956
,,380,15.4714938815
,,380.5,15.4638724667
,,381,15.4608237399
,,381.5,15.4562504773
,,382,15.4532015206
,,382.5,15.4501524718
,,383,15.447103331
,,383.5,15.444054098
,,384,15.4364306125
,,384.5,15.4318562446
,,385,15.4257567643
,,385.5,15.4227068857
,,386,15.4211819118
,,386.5,15.412031583
,,387,15.4089812884
,,387.5,15.4059309014
,,388,15.3998298496
